config,fitness,distance,datapoints,eval_id
"[0, 0, 0, 1, 1, 0, 8, 3, 5, 3, 1, 0, 3, 3]",0.7797374083389701,5.0,37.0,93.0
"[0, 0, 0, 1, 2, 0, 4, 3, 5, 3, 1, 0, 0, 3]",0.7753264703333881,1.0,38.0,94.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 8, 1, 0, 1, 3]",0.745019114912527,5.0,41.0,95.0
"[0, 0, 0, 6, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7701845830402031,5.0,39.0,96.0
"[0, 0, 0, 1, 2, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.77687077691921,1.0,37.0,97.0
"[0, 0, 0, 1, 1, 0, 3, 8, 5, 2, 1, 0, 0, 3]",0.7643660172222001,5.0,29.0,98.0
"[0, 0, 0, 5, 1, 0, 3, 7, 5, 3, 1, 0, 0, 3]",0.7768115381770251,4.0,32.0,99.0
"[0, 0, 0, 6, 1, 0, 3, 3, 5, 3, 1, 2, 0, 3]",0.692000829266582,5.0,15.0,100.0
"[0, 0, 3, 1, 1, 0, 3, 3, 5, 3, 1, 0, 3, 4]",0.6863862814807601,3.0,98.0,101.0
"[0, 0, 0, 1, 1, 0, 3, 2, 5, 3, 1, 0, 0, 3]",0.759255374674879,1.0,40.0,102.0
"[0, 0, 0, 1, 1, 0, 3, 9, 5, 3, 1, 2, 0, 3]",0.6819240246973031,6.0,16.0,103.0
"[0, 0, 0, 2, 6, 0, 3, 3, 5, 3, 1, 1, 0, 3]",0.7617569614430031,5.0,24.0,104.0
"[0, 0, 9, 1, 1, 0, 5, 3, 5, 3, 3, 0, 0, 3]",0.6997552985242871,9.0,81.0,105.0
"[0, 0, 0, 1, 1, 0, 7, 3, 5, 3, 1, 1, 2, 3]",0.7957823525513631,4.0,35.0,106.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 0, 1, 0, 3, 3]",0.696679268942895,3.0,11.0,107.0
"[0, 0, 0, 1, 1, 0, 4, 4, 5, 3, 1, 1, 0, 3]",0.74012675448811,1.0,27.0,108.0
"[0, 0, 9, 1, 5, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7164533415156481,9.0,52.0,109.0
"[0, 0, 0, 8, 1, 0, 3, 5, 5, 3, 3, 0, 0, 3]",0.772155966991776,7.0,37.0,110.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 1, 0, 3]",0.732994755144709,1.0,23.0,111.0
"[0, 0, 0, 8, 1, 0, 3, 3, 5, 10, 1, 0, 0, 2]",0.746894631300217,7.0,39.0,112.0
